gene,logP
c_sym_15780,0.4834637379962788
c_sym_31809,0.2099480651519816
c_sym_45667,0.0022821119104283723
c_sym_29158,0.29991638512943747
c_sym_95461,-0.03455701254466447
c_sym_4017,-0.05124072800463306
c_sym_3559,0.48981396560352974
c_sym_77716,-0.6300745162437376
c_sym_12127,0.22469905149984043
c_sym_40229,0.10669612355421403
c_sym_26788,-0.8146317541651394
c_sym_43591,0.23480978587403792
c_sym_36138,0.9567787965653742
c_sym_79371,-0.13576597398091841
c_sym_52621,-0.10460316526853879
c_sym_31466,1.033163403999329
c_sym_80724,0.7271515509324418
c_sym_85353,0.2048109770872632
c_sym_85791,-1.1401461323520368
c_sym_40687,0.24471971569784354
c_sym_49737_91593,-0.031082599068022604
c_sym_91915,0.25350669122463704
c_sym_2111,-0.20326663233223982
c_sym_28964,0.08766937581022284
c_sym_6022,0.0014061261947881816
c_sym_12619,0.028720077497030937
c_sym_81630,0.6088074928858668
c_sym_61743,-0.056565850283339485
c_sym_96510,-0.1541177652465796
c_sym_70731,0.16605466175048644
c_sym_15450,-0.24834515601666407
c_sym_97587,0.24392968401801035
c_sym_29815,0.07256026536217977
c_sym_77867,0.1834964937355661
c_sym_30632,0.37631488091448617
c_sym_35022,0.2904389726411224
c_sym_37160,0.18448188586252706
c_sym_34663,0.14074916245170802
c_sym_52235,-0.13721789786931365
c_sym_28678,-0.10096095616318777
c_sym_47854,0.15561046463545952
c_sym_29304,0.2952524513009931
c_sym_42185,0.1022955224407903
c_sym_49055,0.16639089019497447
c_sym_59491,-0.12811840083523018
c_sym_70712,0.18669848998948166
c_sym_9240,0.3928392634923023
c_sym_29335,-0.13156205901026116
c_sym_8812,0.34268538663600856
c_sym_42699,-0.004055110235681257
c_sym_27124,0.16696519672751037
c_sym_23600,0.03159323662900312
c_sym_93037,0.410139040674474
c_sym_95055,-0.04210701116609308
c_sym_96863,0.39558884338482286
c_sym_33991,0.2730500964739766
c_sym_98982,0.2367878238076735
c_sym_37395,0.4290922903128457
c_sym_4465,-0.17350646984457802
c_sym_34092,-0.0827188852349266
c_sym_28085,-0.10270078826318661
c_sym_39236,0.03469497009250954
c_sym_52178,0.48950470409152746
c_sym_77434,-0.11318470242112227
c_sym_27221,-0.20685664149035982
c_sym_15133,-0.01754380244645427
c_sym_48176,0.5578127369207913
c_sym_55265,-0.28890429601449175
c_sym_16513,0.04692487049473532
c_sym_23059,-0.12564730212188857
c_sym_45505,0.05482952185239415
c_sym_19605,-0.008690893128649275
c_sym_81036,-0.13542879478578854
c_sym_11424,0.26859241526873745
c_sym_20173,-0.2082914967762707
c_sym_77454,0.3307014169349459
c_sym_53854,-0.07674577259695138
c_sym_72310,0.6392308267904185
c_sym_93532,0.02961493247029758
c_sym_41305,0.5329753643925954
c_sym_73511,-0.32586827211442143
