gene,logP
d_sym_1,0.35820828241989383
d_sym_9,0.007415648486972779
d_sym_11,-1.5792757358675324
d_sym_13,0.34436022058448124
d_sym_18,0.5112659877186589
d_sym_19,0.18330898006635016
d_sym_27,0.11070056543418666
d_sym_28,0.10640401697638965
d_sym_33,0.2579733394541183
d_sym_37,-0.10651899917412225
d_sym_48,-0.45333395475807015
d_sym_51,0.4020695643594586
d_sym_57,-0.2254958020281932
d_sym_59,-0.10087419048764605
d_sym_62,-0.12241488134195265
d_sym_64,-0.05609320008105747
d_sym_70,0.4309952984564236
d_sym_74,-0.10666816088529324
d_sym_79,0.16616506886650725
d_sym_82,0.6994675638733123
d_sym_84,0.032764602210257496
d_sym_85,-0.018570775878817003
d_sym_90,0.03969518717446396
d_sym_95,0.1993554290764669
d_sym_101,0.3764483238253868
d_sym_110,-0.13930408652963977
d_sym_111,-0.1860545216718786
d_sym_114,0.40001580277590254
d_sym_120,0.026365701434946143
d_sym_122,0.43990053124766426
d_sym_124,0.14402058582958613
d_sym_127,0.07582546520114003
d_sym_128,0.6634092903853821
d_sym_129,-0.1731765994355237
d_sym_130,0.42152744680798504
d_sym_134,-0.18404166615112477
d_sym_137,-0.159660315292634
d_sym_141,-0.03791004427934132
d_sym_142,0.3263964522960785
d_sym_147,1.0430526573915693
d_sym_155,-0.5617887292985277
d_sym_159,0.1862675791897755
d_sym_160,-0.117041575943462
d_sym_163,-0.04746095361376736
d_sym_166,-5.569839312269853e-4
d_sym_172,-0.33700021714396233
d_sym_174,0.13671241725648625
d_sym_177,1.2232048177246684
d_sym_183,0.15132074083231306
d_sym_188,0.5004658845130573
d_sym_190,0.8629328296855887
d_sym_193,1.031737658251113
d_sym_195,-0.6478004312227591
d_sym_198,0.24280400469041039
d_sym_200,-0.08735216057907817
d_sym_201,-0.16142047229879727
d_sym_204,-0.29919934003342225
d_sym_208,0.010032343721835564
d_sym_215,0.258325355389355
d_sym_216,-0.5287942621282677
d_sym_217,0.24386744594301868
d_sym_234,0.33646773221104875
d_sym_236,-0.00880333819140676
d_sym_237,0.015718699786166843
d_sym_238,0.08215131963921886
d_sym_241,-0.02854163246284725
d_sym_243,0.09085661322357834
d_sym_244,0.11340774526703376
d_sym_246,-0.004375858468023132
d_sym_256,0.13133455846485442
d_sym_264,0.02754047394729604
d_sym_265,-0.07583342798131351
d_sym_269,0.05377401204268596
d_sym_274,0.51615755161478
d_sym_278,-0.08367587247081795
d_sym_282,-0.07005553137730888
d_sym_286,0.19772953515633665
d_sym_288,0.004140605638556797
d_sym_292,0.893906000312879
d_sym_295,0.5084401444229278
d_sym_305,1.167282442855943
d_sym_306,0.14172475466015205
d_sym_309,0.306796948429475
d_sym_310,0.6175799618647957
d_sym_320,-0.3402135120564564
d_sym_323,0.033776854804065136
d_sym_324,0.1742263478251053
d_sym_333,-0.026752461135520187
d_sym_339,0.5693312095062832
