gene,logP
d_sym_1,0.787886384479005
d_sym_9,4.276397078159323
d_sym_11,4.249262297660291
d_sym_13,0.009998035105631783
d_sym_18,-0.24075903990154598
d_sym_19,-1.8817138544233574
d_sym_27,-3.3627741200821597
d_sym_28,-0.46887485089207437
d_sym_33,5.430852932979903
d_sym_37,0.15464399828362727
d_sym_48,-0.3542124778910539
d_sym_51,-1.9008031863802293
d_sym_57,2.4657055759948325
d_sym_59,6.234717221757533
d_sym_62,0.39303564181801
d_sym_64,2.8461917792785036
d_sym_70,-0.36317062522527244
d_sym_74,-0.24703639843186267
d_sym_79,4.215018406059498e-4
d_sym_82,0.9424989954189059
d_sym_84,-1.938719949426485
d_sym_85,0.6922250025646856
d_sym_90,0.037008096035953245
d_sym_95,-0.46674231555702383
d_sym_101,-1.2198271388013269
d_sym_110,-0.22771318021756673
d_sym_111,1.6946594672534985
d_sym_114,0.5246820142085082
d_sym_120,2.205978849285808
d_sym_122,-0.6783579307932615
d_sym_124,0.16715848526771354
d_sym_127,-0.1269117249630911
d_sym_128,-1.0138433906277022
d_sym_129,0.22337173114773878
d_sym_130,0.09213488783366139
d_sym_134,1.2045794988296887
d_sym_137,2.0063615880730143
d_sym_141,-1.0554418590872188
d_sym_142,-0.11543169609854434
d_sym_147,-2.6173472864883305
d_sym_155,2.338817890802343
d_sym_159,0.22011673807137705
d_sym_160,2.1084438556436624
d_sym_163,1.1381554066925528
d_sym_166,0.23400165882625992
d_sym_172,1.6111350829577646
d_sym_174,1.5465976594610922
d_sym_177,-1.1891535284739587
d_sym_183,-0.24235848543150398
d_sym_188,-1.3330099380733074
d_sym_190,-2.32201729991783
d_sym_193,-0.9530149210188114
d_sym_195,0.2033118851489479
d_sym_198,0.7426911732124367
d_sym_200,-0.20762445864453052
d_sym_201,0.7396052266595311
d_sym_204,1.6816689821462412
d_sym_208,-0.5434207895287808
d_sym_215,-0.3349244681127563
d_sym_216,4.135648800685525
d_sym_217,-0.6832008361489496
d_sym_234,-0.678733226027192
d_sym_236,2.9049234596271827
d_sym_237,-0.04916166842312324
d_sym_238,0.011574826853976225
d_sym_241,-0.9245037146636361
d_sym_243,-0.5088685275772511
d_sym_244,-0.5330209020329717
d_sym_246,-0.2695171642907667
d_sym_256,-0.9641203426018535
d_sym_264,4.69410534017614
d_sym_265,-0.282713018454282
d_sym_269,0.426707637040625
d_sym_274,-1.4272506523987931
d_sym_278,1.7540657606099304
d_sym_282,-0.03320371405697511
d_sym_286,3.291102779807936
d_sym_288,-1.9053861832263999
d_sym_292,-1.7744946682888403
d_sym_295,-2.8174539706524433
d_sym_305,-1.4092034007640444
d_sym_306,-0.20804555715477022
d_sym_309,-0.5560169325225485
d_sym_310,-0.824526788413924
d_sym_320,-0.2856517997912797
d_sym_323,-0.2843301972528092
d_sym_324,-0.07924519693039987
d_sym_333,1.7502056304283131
d_sym_339,-2.1337733885628842
d_sym_341,-1.5441176885197332
d_sym_342,-1.331792326664512
d_sym_345,-0.4461037119495149
d_sym_352,0.047543584610516686
d_sym_355,-1.4597361283348567
d_sym_370,-2.195161603294009
d_sym_376,-1.632330213677462
d_sym_382,-1.800359468031957
d_sym_405,-0.5041650617722109
d_sym_409,3.6482739202335015
d_sym_411,4.225011571984643
d_sym_412,-0.3154800533333288
d_sym_416,-1.4497522471416642
d_sym_425,-0.2239196733109076
d_sym_432,-0.7200837420842066
d_sym_434,-0.40631181574959185
d_sym_442,2.719401475990167
d_sym_446,1.1447117875358248
d_sym_451,-1.4932345712179087
d_sym_460,-0.18486811646637405
d_sym_463,-0.20683145952813314
d_sym_470,-0.9783563771112785
d_sym_474,-0.5797240842394559
d_sym_481,-0.9020400395967366
d_sym_482,-0.34020158319100025
