gene,logP
c_sym_15780,0.3469453908036913
c_sym_31809,1.7605280456972494
c_sym_45667,0.9117367426386421
c_sym_29158,1.764126542772719
c_sym_95461,1.4482378296637743
c_sym_4017,0.0023887332775060976
c_sym_3559,-1.2651928348068258
c_sym_77716,0.16769095471971443
c_sym_12127,0.797853480282894
c_sym_40229,-0.33142881887055226
c_sym_26788,-0.010676539906253295
c_sym_43591,-0.9299710649891709
c_sym_36138,-1.8179099682067952
c_sym_79371,0.42552250787954593
c_sym_52621,0.9371796061736366
c_sym_31466,-1.5413376376303232
c_sym_80724,-1.6487616965132286
c_sym_85353,2.5268277046752354
c_sym_85791,0.35527004147586627
c_sym_40687,-0.6670895222788168
c_sym_49737_91593,1.4711773079871135
c_sym_91915,0.004786966374968199
c_sym_2111,0.6384365731846926
c_sym_28964,-0.8809945279056055
c_sym_6022,-0.15864804444940522
c_sym_12619,1.7375362512606154
c_sym_81630,1.4161134652512954
c_sym_61743,-0.16146695117582435
c_sym_96510,0.7870823674883447
c_sym_70731,-0.8242176446641085
c_sym_15450,2.580045948072353
c_sym_97587,-0.04190879308035203
c_sym_29815,0.5928636661423918
c_sym_77867,3.302014915200698
c_sym_30632,-1.7955657597338976
c_sym_35022,1.5860427462210658
c_sym_37160,-0.563385831345256
c_sym_34663,0.22698736314493034
c_sym_52235,-0.13617364826370715
c_sym_28678,-0.5661549783905568
c_sym_47854,-0.477117690239212
c_sym_29304,-1.4638856127904338
c_sym_42185,-0.3530181562247989
c_sym_49055,-0.3900019217459739
c_sym_59491,0.18085035971182328
c_sym_70712,1.990718624016575
c_sym_9240,-0.6262951419185547
c_sym_29335,-0.4197370545480561
c_sym_8812,1.2353006317125061
c_sym_42699,2.375957651271324
c_sym_27124,1.8641557731925225
c_sym_23600,-0.33931413365979785
c_sym_93037,-0.20664619023061426
c_sym_95055,0.6131690887515289
c_sym_96863,0.9972179747208172
c_sym_33991,-1.7079744193236988
c_sym_98982,-0.5832873927301796
c_sym_37395,-1.8312660162938876
c_sym_4465,2.27828651604489
c_sym_34092,1.77066139747628
c_sym_28085,-0.7888586665191051
c_sym_39236,-0.43089805419590355
c_sym_52178,-0.7360530052573531
c_sym_77434,3.2663021670299863
c_sym_27221,0.9357859116335574
c_sym_15133,1.0917874673569852
c_sym_48176,-0.8492321863875627
c_sym_55265,1.0440157766221674
c_sym_16513,-0.12363189908391285
c_sym_23059,0.19185813655907474
c_sym_45505,-1.038663537539779
c_sym_19605,-0.3025934554357364
c_sym_81036,4.20047352062384
c_sym_11424,-0.19201579037562416
c_sym_20173,0.6163207800855142
c_sym_77454,0.3345637195220903
c_sym_53854,-0.27941770771958624
c_sym_72310,-1.5103288070422416
c_sym_93532,2.858424719283894
c_sym_41305,-0.5375372999286179
c_sym_73511,0.8809541085977578
c_sym_18221,0.8724102400785316
c_sym_33726,2.6722207565050664
c_sym_77685,0.42599627240666577
c_sym_98169,-0.3249090979717714
c_sym_78534,-1.7305840961477885
c_sym_63783,-0.5764477668686177
c_sym_35021,0.10312296713675412
c_sym_57987,-0.20702635326408617
c_sym_85992,-0.20671051780631972
c_sym_15575,-0.8047074339287774
c_sym_49715,0.6055199089939378
c_sym_92894,-1.4296511933866438
c_sym_39454,1.283710893864404
c_sym_30842,0.4152293252263129
c_sym_1584,-0.9102927058157745
c_sym_89178,-1.4647944111335887
c_sym_27815,-2.8851957525476863
c_sym_16119,0.2842045191443778
c_sym_28795,0.16049226807527683
c_sym_72455,0.3495702097341534
c_sym_78158,-0.12039314292733577
c_sym_96092,0.7416828485848389
c_sym_38804,-0.12082541038783821
c_sym_47615,-0.44920197920784205
c_sym_1192,-0.7963410591192035
c_sym_32038,0.7497885627442862
c_sym_24182_89835,0.019406056571509626
c_sym_32743,0.7489577689931702
c_sym_80044,-0.8994989558617952
c_sym_94663,-0.9086823731858071
c_sym_53295,-0.8724134100992913
c_sym_23414,1.615357824798128
c_sym_72782,-0.36503451641169976
c_sym_52206,1.0237013337409486
c_sym_89338,-1.1092701067059139
c_sym_35480,-1.0813565173312594
c_sym_18177,1.1922748452608505
c_sym_97019,6.632568759440561
c_sym_23339,0.008917613871777091
c_sym_52963,1.5481730333597918
c_sym_93763,1.6212250680469205
c_sym_48283,-0.6571889285314422
c_sym_29160,-0.44409277828588883
c_sym_28121,0.22623281608294843
c_sym_1118,1.1389463187632503
c_sym_9910,2.181259851904716
c_sym_96627,3.352409604392251
